
Endpoints:

Endpoint URL             | Request Object          | Response Object         | HTTP Method
-------------------------|-------------------------|-------------------------|-------------
/login                   | {Google OAuth Redirect} | {Redirection}           | GET
/googlecallback          | {OAuth Callback Params} | {Redirection}           | GET
/gtoken                  | {OAuth Token Params}    | {Session Information}   | GET
/register                | {Google Token}          | {User Profile}          | GET
/profile                 | None                    | {User Profile}          | GET
/logout                  | None                    | {Session Termination}   | GET
/delete_account          | None                    | {Account Deletion}      | GET
/removeFavorites         | {User ID, Title, Recipe ID} | {Operation Status}  | POST
/addFavorites            | {User ID, Title, Recipe ID} | {Operation Status}  | POST
/results_recipe          | {Search Term}           | {Recipe List}           | POST
/results_title           | {Recipe ID}             | {Recipe Details}        | GET
/results_ingredient      | {Ingredient ID}         | {Ingredient Details}    | GET
/chat                    | {User Message}          | {Chat Response}         | WebSocket


Data Structures:

#### OAuth Callback Params:
Variable Name | Variable Type
--------------|---------------
code          | String

#### OAuth Token Params:
Variable Name | Variable Type
--------------|---------------
code          | String
client_id     | String
client_secret | String
redirect_uri  | String
grant_type    | String

#### Google Token:
Variable Name | Variable Type
--------------|---------------
access_token  | String

#### User Profile:
Variable Name | Variable Type
--------------|---------------
user_id       | String
name          | String
email         | String
picture       | String

#### Operation Status:
Variable Name | Variable Type
--------------|---------------
success       | Boolean

#### Recipe List:
Variable Name | Variable Type
--------------|---------------
recipes       | Array

#### Recipe Details:
Variable Name | Variable Type
--------------|---------------
title         | String
ingredients   | Array
instructions  | String

#### Ingredient Details:
Variable Name | Variable Type
--------------|---------------
name          | String
description   | String
